NULL,NULL,256704-2,47265-0,3522,1161
NULL,NULL,256704-1,47265-0,5950,4268
NULL,NULL,6435-130,264661-128,4035,3370
NULL,NULL,6435-129,264661-128,2865,2221
NULL,NULL,6439-130,47220-0,11729,11268
NULL,NULL,6439-129,47220-0,609,152
NULL,NULL,45439-1,264302-128,1793,1401
NULL,NULL,264599-129,5419-128,4555,4229
NULL,NULL,6462-129,47220-2,5251,5014
NULL,NULL,264661-128,6435-130,3308,3084
NULL,NULL,264661-129,6435-129,8005,7839
NULL,NULL,6435-129,264661-129,9043,8889
NULL,NULL,264472-129,47220-0,4642,4491
NULL,NULL,45463-1,6445-128,1509,1366
NULL,NULL,45463-1,45436-1,232,95
NULL,NULL,264296-130,6445-128,1829,1696
NULL,NULL,47220-2,264296-128,2578,2451
NULL,NULL,6439-129,47220-1,1068,943
NULL,NULL,45463-2,6445-128,1874,1766
NULL,NULL,5419-128,264661-129,5550,5447
NULL,NULL,45439-1,5459-129,764,667
NULL,NULL,47220-1,264296-128,821,729
NULL,NULL,47220-1,6439-129,1768,1687
NULL,NULL,47220-2,6462-129,5094,5014
NULL,NULL,47265-1,6462-130,372,293
NULL,NULL,5397-130,5561-129,2657,2583
NULL,NULL,47220-0,6439-130,12227,12154
NULL,NULL,47220-0,264472-129,3413,3340
NULL,NULL,47220-2,264472-130,1504,1434
NULL,NULL,264599-130,5419-130,1494,1425
NULL,NULL,5419-130,264599-128,4121,4053
NULL,NULL,264598-130,5419-128,4945,4877
NULL,NULL,5419-128,264598-130,5038,4972
NULL,NULL,264296-128,47220-2,2537,2472
NULL,NULL,256704-0,6444-129,934,869
NULL,NULL,45439-2,264302-128,538,474
NULL,NULL,6435-130,264507-128,1765,1703
NULL,NULL,5419-128,264599-129,4369,4312
NULL,NULL,47220-1,264296-129,532,478
NULL,NULL,47244-1,47267-1,1724,1671
NULL,NULL,47353-2,269519-130,496,443
NULL,NULL,45436-1,6445-128,2522,2471
NULL,NULL,47220-1,6439-130,861,811
NULL,NULL,264270-129,45439-1,980,931
NULL,NULL,6462-129,264296-128,1237,1189
NULL,NULL,5397-130,256705-0,5027,4980
NULL,NULL,264599-128,6435-130,274,227
NULL,NULL,45439-0,5459-129,413,366
NULL,NULL,264661-128,6435-129,2289,2244
NULL,NULL,264472-130,47220-2,1585,1540
NULL,NULL,5421-130,264558-130,2789,2745
NULL,NULL,264661-129,5419-128,4095,4051
NULL,NULL,6435-130,264599-128,197,154
NULL,NULL,264270-129,5422-129,1216,1173
NULL,NULL,264661-128,5419-128,939,896
NULL,NULL,264273-130,6439-130,709,667
NULL,NULL,45439-0,277421-129,868,826
NULL,NULL,264598-130,6435-129,2960,2918
NULL,NULL,264296-130,45463-0,517,476
NULL,NULL,47244-1,6462-128,879,839
NULL,NULL,47265-0,256704-1,4048,4008
NULL,NULL,6435-129,264598-129,446,406
NULL,NULL,264661-130,264598-128,571,533
NULL,NULL,45439-1,264270-130,485,447
NULL,NULL,45353-2,277347-129,833,796
NULL,NULL,6439-130,264472-129,7413,7376
NULL,NULL,264599-128,45393-0,919,882
NULL,NULL,47353-2,264577-129,1220,1183
NULL,NULL,256704-0,264312-130,265,228
NULL,NULL,45463-2,264296-130,811,775
NULL,NULL,45463-2,264296-129,2492,2456
NULL,NULL,6439-130,47220-1,459,424
NULL,NULL,277347-130,45353-0,482,448
NULL,NULL,5561-130,264309-129,682,648
NULL,NULL,264661-130,5419-130,1922,1889
NULL,NULL,45463-1,6445-129,85,53
NULL,NULL,264296-130,269516-128,573,541
NULL,NULL,264661-129,264598-129,701,669
NULL,NULL,5561-130,264309-128,1008,976
NULL,NULL,6435-128,264294-129,1411,1381
NULL,NULL,5422-129,264270-130,1296,1266
NULL,NULL,256632-0,264270-130,392,362
NULL,NULL,5421-130,47353-1,1002,973
NULL,NULL,45463-1,264296-129,138,109
NULL,NULL,6435-128,256317-2,29,0
NULL,NULL,45436-2,47268-0,359,330
NULL,NULL,256704-0,47267-2,4192,4163
NULL,NULL,277347-130,277403-128,698,669
NULL,NULL,45353-0,277347-128,462,434
NULL,NULL,264599-128,5419-130,3801,3773
NULL,NULL,264661-128,6435-128,1665,1637
NULL,NULL,264598-130,264661-130,1910,1883
NULL,NULL,47265-1,256316-0,256,229
NULL,NULL,6435-130,264507-129,596,569
NULL,NULL,5561-130,5397-130,3837,3810
NULL,NULL,264661-130,6435-129,665,638
NULL,NULL,264296-129,269516-130,26,0
NULL,NULL,47244-0,47267-1,1509,1483
NULL,NULL,45463-2,269516-129,434,408
NULL,NULL,264661-130,264598-130,2033,2008
NULL,NULL,5421-130,256632-0,7711,7686
NULL,NULL,264599-129,6435-130,220,195
NULL,NULL,264273-128,264271-130,5387,5362
NULL,NULL,6435-128,264465-129,390,366
NULL,NULL,47265-1,256704-1,492,468
NULL,NULL,5562-129,264631-129,24,0
NULL,NULL,264598-128,5419-128,2037,2013
NULL,NULL,47244-1,264472-128,315,292
NULL,NULL,256704-0,264312-129,1457,1434
NULL,NULL,6462-128,264296-128,193,170
NULL,NULL,47220-0,264472-128,155,132
NULL,NULL,264661-129,256321-1,22,0
NULL,NULL,277347-129,45353-2,833,811
NULL,NULL,6462-128,47244-1,880,858
NULL,NULL,5397-129,5561-130,602,580
NULL,NULL,45439-0,264558-130,350,328
NULL,NULL,5421-130,277421-129,2913,2891
NULL,NULL,45353-2,5429-129,1257,1235
NULL,NULL,47265-2,6435-128,357,335
NULL,NULL,45439-0,264270-130,117,95
NULL,NULL,45353-2,277347-130,193,172
NULL,NULL,264599-128,45393-1,641,620
NULL,NULL,47244-0,6443-129,575,554
NULL,NULL,277347-128,5401-130,64,43
NULL,NULL,5422-129,264302-128,106,85
NULL,NULL,264296-128,6462-129,985,965
NULL,NULL,6435-128,47265-2,433,413
NULL,NULL,264661-128,256321-1,19,0
NULL,NULL,45439-0,256632-0,469,450
NULL,NULL,6435-130,264599-129,223,205
NULL,NULL,264273-130,264472-130,83,65
NULL,NULL,277347-128,45353-0,622,604
NULL,NULL,47265-0,256704-2,1182,1164
NULL,NULL,264661-129,45473-1,268,251
NULL,NULL,6462-129,264472-130,368,351
NULL,NULL,264598-129,6435-129,290,273
NULL,NULL,47353-2,277421-128,1014,997
NULL,NULL,47220-0,264296-128,179,162
NULL,NULL,6439-130,264271-130,1043,1027
NULL,NULL,256632-0,5422-129,443,427
NULL,NULL,45454-1,277403-129,477,461
NULL,NULL,45353-1,264309-128,176,161
NULL,NULL,45353-0,277254-130,946,931
NULL,NULL,47244-2,47267-1,387,372
NULL,NULL,6439-128,47220-0,214,199
NULL,NULL,264598-130,45473-2,550,535
NULL,NULL,45454-2,264302-128,49,34
NULL,NULL,264472-129,264271-130,973,959
NULL,NULL,256704-1,47267-2,693,679
NULL,NULL,264661-129,264598-128,2014,2000
NULL,NULL,264273-130,264271-130,754,740
NULL,NULL,264598-129,264661-129,571,557
NULL,NULL,264273-128,6443-129,931,918
NULL,NULL,264598-128,264661-129,1416,1403
NULL,NULL,45436-1,264296-129,28,15
NULL,NULL,256704-2,6444-129,204,191
NULL,NULL,5422-129,5421-130,2074,2061
NULL,NULL,264273-128,6443-128,254,242
NULL,NULL,264273-129,264271-130,7623,7611
NULL,NULL,45454-0,264278-128,18,6
NULL,NULL,256632-0,5421-130,7809,7797
NULL,NULL,45463-2,45436-1,177,165
NULL,NULL,264661-129,45477-1,297,286
NULL,NULL,264661-129,264598-130,3686,3675
NULL,NULL,264472-128,47220-0,119,108
NULL,NULL,45353-2,277347-128,117,106
NULL,NULL,6435-129,264598-130,2029,2018
NULL,NULL,264270-129,47215-1,100,89
NULL,NULL,264472-129,264271-128,214,203
NULL,NULL,264296-129,45463-2,2387,2376
NULL,NULL,5421-130,5422-129,2010,1999
NULL,NULL,47353-2,269519-129,756,745
NULL,NULL,45439-1,264270-129,923,912
NULL,NULL,47265-2,256704-2,192,181
NULL,NULL,264296-128,47220-1,645,634
NULL,NULL,6462-130,256325-0,393,382
NULL,NULL,45353-0,277403-128,62,51
NULL,NULL,264472-128,264273-130,616,605
NULL,NULL,6462-128,47220-2,463,452
NULL,NULL,5561-128,264309-128,117,107
NULL,NULL,256704-2,264312-130,98,88
NULL,NULL,45353-0,5429-130,107,97
NULL,NULL,264296-128,45502-0,635,625
NULL,NULL,45353-1,5429-130,70,60
NULL,NULL,47220-0,6439-129,128,118
NULL,NULL,5397-129,47268-0,57,47
NULL,NULL,5561-130,5397-129,555,546
NULL,NULL,47265-0,264312-130,24,15
NULL,NULL,5561-128,277279-129,1133,1124
NULL,NULL,6435-129,264599-129,125,116
NULL,NULL,6462-128,45502-0,157,148
NULL,NULL,277347-128,277403-128,363,354
NULL,NULL,47220-2,6462-128,477,468
NULL,NULL,264270-129,5562-129,86,78
NULL,NULL,5397-128,269517-130,309,301
NULL,NULL,5419-130,264598-130,764,756
NULL,NULL,264472-128,47244-1,322,314
NULL,NULL,45353-0,277347-130,408,400
NULL,NULL,256704-2,239360-2,25,17
NULL,NULL,45439-2,5459-129,59,51
NULL,NULL,6435-130,264507-130,140,132
NULL,NULL,47244-1,264296-128,79,71
NULL,NULL,5419-129,5422-129,463,455
NULL,NULL,5421-130,5562-129,76,68
NULL,NULL,47244-2,6443-129,273,265
NULL,NULL,256704-1,264312-129,105,97
NULL,NULL,256704-0,47265-0,27,19
NULL,NULL,47220-2,264472-128,78,70
NULL,NULL,264296-128,47244-1,52,44
NULL,NULL,5397-130,264594-128,110,102
NULL,NULL,264599-129,5419-130,936,928
NULL,NULL,256632-0,5562-129,73,65
NULL,NULL,264296-129,6445-128,159,151
NULL,NULL,256704-1,6444-129,26,18
NULL,NULL,277403-128,277347-128,299,291
NULL,NULL,45439-0,264302-128,143,135
NULL,NULL,5562-129,264631-130,8,0
NULL,NULL,47244-2,264472-128,202,194
NULL,NULL,47220-1,264472-129,65,57
NULL,NULL,5397-128,5561-128,382,374
NULL,NULL,277347-128,5401-129,205,197
NULL,NULL,5422-129,5562-129,555,547
NULL,NULL,5419-128,264661-130,1672,1665
NULL,NULL,45353-0,277254-128,64,57
NULL,NULL,45439-1,264505-128,7,0
NULL,NULL,5397-129,256705-1,724,717
NULL,NULL,6462-128,264472-128,477,470
NULL,NULL,264273-130,47244-0,209,202
NULL,NULL,6439-130,264271-129,39,32
NULL,NULL,256632-0,264558-130,302,295
NULL,NULL,5561-130,264309-130,42,35
NULL,NULL,5419-128,264599-128,761,754
NULL,NULL,47353-2,47213-16,535,528
NULL,NULL,47353-2,264631-130,185,178
NULL,NULL,47265-1,5432-128,141,134
NULL,NULL,264598-130,6435-130,397,390
NULL,NULL,47265-0,6435-128,131,124
NULL,NULL,264472-128,264273-129,20,13
NULL,NULL,45353-0,277254-129,410,403
NULL,NULL,45436-2,269517-130,480,473
NULL,NULL,256704-2,6444-130,109,103
NULL,NULL,6435-129,264598-128,91,85
NULL,NULL,5397-130,256705-2,1097,1091
NULL,NULL,277403-129,45454-1,389,383
NULL,NULL,6439-130,264273-130,305,299
NULL,NULL,45353-2,6431-128,6,0
NULL,NULL,45436-1,5427-129,213,207
NULL,NULL,6462-130,47244-1,37,31
NULL,NULL,5422-130,264270-130,242,236
NULL,NULL,5421-130,277421-130,2083,2077
NULL,NULL,264599-129,264661-130,892,886
NULL,NULL,47265-1,256316-1,106,100
NULL,NULL,264273-130,47244-1,52,46
NULL,NULL,264296-129,45436-1,21,15
NULL,NULL,5421-128,5422-129,1271,1265
NULL,NULL,5419-130,264599-129,1044,1038
NULL,NULL,5562-129,5422-128,1279,1273
NULL,NULL,6462-128,47244-2,163,157
NULL,NULL,6439-129,264273-130,124,118
NULL,NULL,5419-130,264661-130,1536,1530
NULL,NULL,45439-0,277421-130,45,39
NULL,NULL,47220-2,6462-130,105,99
NULL,NULL,45436-2,5397-128,105,99
NULL,NULL,6435-130,264661-130,236,230
NULL,NULL,45436-1,264296-130,25,19
